Date,Open,High,Low,Close,Volume
2024-11-26,85.815,86.08,84.86,85.18,10241468
2024-11-25,84.25,85.875,83.75,85.58,15120057
2024-11-22,83.6,83.68,82.635,83.13,24999202
2024-11-21,86.98,87.0395,85.445,85.58,15869218
2024-11-20,87.04,87.54,86.5,86.77,15174535
2024-11-19,87.16,87.94,86.8184,87.11,19289022
2024-11-18,88.9,89.5,87.85,89.35,13513838
2024-11-15,90.2,90.7,87.23,88.59,31018266
2024-11-14,90.89,91.555,90.01,90.58,16946771
2024-11-13,92.55,92.87,91.28,92.0,12874522
2024-11-12,92.68,93.33,91.03,91.78,21641878
2024-11-11,96.16,96.8,95.045,95.42,12556730
2024-11-08,96.11,96.38,93.69,94.19,24879795
2024-11-07,99.26,101.1,99.18,100.14,16340404
2024-11-06,95.8,97.32,94.76,96.73,18162861
2024-11-05,99.97,101.09,98.955,99.21,10804152
2024-11-04,98.82,99.88,98.36,98.4,8681889
2024-11-01,98.22,98.2999,97.42,97.58,8501018
2024-10-31,97.8,98.1,96.755,97.98,8379347
2024-10-30,98.215,99.8,97.58,98.7,10179903
2024-10-29,101.45,101.45,99.53,99.83,13685370
2024-10-28,99.03,101.05,98.78,99.93,16044384
2024-10-25,98.3,98.9,97.05,97.42,16977095
2024-10-24,96.79,97.41,95.52,96.36,13602870
2024-10-23,100.165,100.22,97.735,98.0,13638151
2024-10-22,100.01,101.89,99.8,100.46,20650129
2024-10-21,100.475,101.65,100.115,100.91,10328625
2024-10-18,103.365,103.365,101.66,102.43,20824610
2024-10-17,101.25,101.45,99.55,100.07,15808247
2024-10-16,102.505,103.85,101.78,102.17,16432574
2024-10-15,103.99,104.41,101.64,101.84,28942615
2024-10-14,108.31,110.08,106.92,107.81,21351601
2024-10-11,108.05,111.05,107.22,110.14,18042614
2024-10-10,108.98,110.84,107.48,109.28,19736630
2024-10-09,105.8,109.38,105.62,107.89,28792997
2024-10-08,110.1,110.76,108.04,109.68,37414363
2024-10-07,117.45,117.82,113.37,117.52,38404022
2024-10-04,115.665,115.73,113.75,114.53,25699080
2024-10-03,110.9,114.09,110.63,112.84,29266952
2024-10-02,115.31,116.57,112.22,115.25,53732816
2024-10-01,106.42,112.79,106.15,112.74,44505025
2024-09-30,111.72,112.22,106.105,106.12,58695541
2024-09-27,105.97,109.43,105.73,107.33,50075194
2024-09-26,102.69,105.97,101.76,105.07,67261624
2024-09-25,94.38,96.18,94.06,95.46,18816624
2024-09-24,96.07,97.5,94.4,97.19,47423157
2024-09-23,89.47,91.15,89.32,90.09,19744055
2024-09-20,89.22,89.52,88.05,88.29,12277036
2024-09-19,87.625,88.565,86.95,88.49,18618354
2024-09-18,84.85,85.0,84.04,84.42,7858842
2024-09-17,84.82,85.77,84.63,84.7,10113889
2024-09-16,84.035,84.38,83.26,83.6,11298241
2024-09-13,84.39,84.89,83.82,84.69,8985457
2024-09-12,85.03,85.6801,84.86,85.49,10781344
2024-09-11,83.575,84.84,83.5,84.81,11551734
2024-09-10,83.8,84.3,82.715,83.8,15327768
2024-09-09,80.93,81.625,80.3199,81.44,10434425
2024-09-06,82.12,82.62,81.17,81.18,11712670
2024-09-05,82.105,83.01,82.0,82.43,8461044
2024-09-04,82.87,83.4,82.3,82.47,10845500
2024-09-03,81.78,83.02,81.7,82.27,11638188
2024-08-30,84.72,84.75,82.58,83.34,20027304
2024-08-29,81.24,81.465,80.46,81.02,14154155
2024-08-28,81.125,81.2799,79.205,79.62,14024406
2024-08-27,82.27,82.65,81.27,81.45,9026068
2024-08-26,81.89,82.305,80.3703,81.76,29321676
2024-08-23,84.9,85.79,84.36,85.41,17317996
2024-08-22,83.5,83.79,81.83,82.96,9728952
2024-08-21,81.85,83.8,81.71,83.53,14689960
2024-08-20,82.46,82.6,80.775,81.04,17880059
2024-08-19,83.98,84.9,83.49,83.91,14750992
2024-08-16,82.05,84.16,81.98,83.18,25249172
2024-08-15,77.9,81.88,77.74,79.54,31619351
2024-08-14,80.55,80.98,78.07,79.47,18058094
2024-08-13,80.965,81.4,80.68,81.1,9365727
2024-08-12,80.59,81.5,80.23,80.91,12127711
2024-08-09,79.97,80.22,79.195,79.99,7755860
2024-08-08,78.85,80.31,78.75,80.31,14004330
2024-08-07,78.92,78.94,77.46,77.83,9693911
2024-08-06,76.51,78.85,76.51,77.9,12128907
2024-08-05,74.03,77.255,73.87,76.98,16143255
2024-08-02,76.79,77.47,75.765,77.45,10808670
2024-08-01,78.77,79.36,77.84,77.98,8559620
2024-07-31,79.33,80.015,78.34,78.85,12178625
2024-07-30,78.22,78.79,77.7,78.0,8431939
2024-07-29,78.46,79.4,78.205,78.62,17364101
2024-07-26,75.26,76.77,74.55,76.53,10884540
2024-07-25,75.37,76.215,75.13,75.4,8172638
2024-07-24,76.15,77.06,75.72,75.8,7924719
2024-07-23,75.675,76.32,75.44,76.1,7997090
2024-07-22,76.83,77.19,76.26,76.64,9166842
2024-07-19,75.66,76.045,75.18,75.27,7557264
2024-07-18,77.36,78.32,76.3649,76.54,11108627
2024-07-17,77.86,77.95,76.49,77.04,10815545
2024-07-16,77.29,78.58,76.98,78.38,12304469
2024-07-15,78.09,78.6,77.45,78.01,12614928
2024-07-12,80.3,81.01,79.425,79.65,14857248
2024-07-11,77.66,78.83,77.4224,78.52,18896930
2024-07-10,75.28,76.655,75.25,76.01,12235165
2024-07-09,74.01,76.06,73.97,75.7,14516557
